sequence,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBv/TFDU+AAAvhFzpBOpB6tB0mBlqBxuB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBvCmFDK+AAAvhFTpB6oB1mBMqB2uBRvB,v115@DhB8IeB8GeC8FeE8Je1OYaAFLDmClcJSAVDEHBEooR?BUoAVBpiLuCKHBAAvhFxqB6oB0hBXgBOkBzqB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBK+TFDUHBAAvhFWqBZkB6oB0mB1qBzpB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVB0SltCKHBAAvhF1uB6tBRrBXlBOpBTrB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVB0izPCJHBAAvhF1uB6tB0mBOpBRqBTqB,v115@DhB8IeB8GeC8FeE8JeTJYaAFLDmClcJSAVDEHBEooR?BPoAVBaN8LC0/AAAvhF0qB3mB6oBxpBFmBmpB,v115@DhB8IeB8GeC8FeE8Je3JYaAFLDmClcJSAVDEHBEooR?BToAVB0izPCJHBAAvhFFrB6oB0hBOkBRqBTqB,v115@DhB8IeB8GeC8FeE8Je2OYaAFLDmClcJSAVDEHBEooR?BKoAVBpiLuCUHBAAvhFxqB6oB0hB/kBFlBzqB,v115@DhB8IeB8GeC8FeE8Je1OYaAFLDmClcJSAVDEHBEooR?BUoAVBzXUPCP+AAAvhF3mBUlB6oBOkBzqBxvB,v115@DhB8IeB8GeC8FeE8Je2OYaAFLDmClcJSAVDEHBEooR?BKoAVBpC+tCaHBAAvhFxqB6oB1mB/kBUlBzqB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBqijxCP+AAAvhFmpB6oB0hBllBTpBxuB,v115@DhB8IeB8GeC8FeE8JeTJYaAFLDmClcJSAVDEHBEooR?BPoAVB0izPCT+AAAvhFFrB6oB0hBmkB3qBxuB,v115@DhB8IeB8GeC8FeE8JezKYaAFLDmClcJSAVDEHBEooR?BPoAVBz/DxCa+AAAvhFXlBOpB6oBlmB0pBxvB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVB6/DxCT+AAAvhF0lBOpB6oBlmBXrBxuB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVBqSltCUHBAAvhF2uB6tBRrB/pBFlBTrB,v115@DhB8IeB8GeC8FeE8JezKYaAFLDmClcJSAVDEHBEooR?BPoAVBzCmFDK+AAAvhFXlB6oBlmBMkB2uBxvB,v115@DhB8IeB8GeC8FeE8JeXLYaAFLDmClcJSAVDEHBEooR?BToAVBpyaFD0/AAAvhFxpB6oBTpB0mB1qBmpB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBpCmPCaNBAAvhFZkB6oBlmBWlB0lBXrB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBpCmPCzXBAAvhFZkB6oBlmBWlBXmB0qB,v115@DhB8IeB8GeC8FeE8JeRPYaAFLDmClcJSAVDEHBEooR?BJoAVB6CegCz/AAAvhF0kB6oBlmBTgBXmBOpB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBseltCqXBAAvhF6oBlmBxkBXmBOpB0qB,v115@DhB8IeB8GeC8FeE8JezJYaAFLDmClcJSAVDEHBEooR?BPoAVBseNFDKNBAAvhF6oBlmBxkB0lBOpBXrB,v115@DhB8IeB8GeC8FeE8Je0KYaAFLDmClcJSAVDEHBEooR?BaoAVBM+dgCKNBAAvhF6oBRmBlkBTmBOpBXqB,v115@DhB8IeB8GeC8FeE8JeXKYaAFLDmClcJSAVDEHBEooR?BToAVBM+dgCqXBAAvhF6oBRmBlkBTmBOpB0qB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVBseltCvXBAAvhF6oBlmBxkBXmBTpB0qB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVB6CegCT+AAAvhF0lB6oBlmBTpBXrBxuB,v115@DhB8IeB8GeC8FeE8JemJYaAFLDmClcJSAVDEHBEooR?BKoAVBseNFDTHBAAvhF6oBlmBxkB0lBXrBTpB
TIJSOZL,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TIJZLOS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
TIJZSLO,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TIJOLZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TIJOSLZ,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLJOZ,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLZJO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLZOJ,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TISLOJZ,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TISLOZJ,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TISJLZO,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJLOZ,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJZLO,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISZLOJ,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TISZJLO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISZOJL,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TISOLZJ,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TISOJLZ,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZLJOS,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZLSJO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLSOJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZLOJS,X,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
TIZLOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIZJLSO,X,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJLOS,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZJSLO,X,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSLOJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZSJLO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOJL,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
TIZOLSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIZOJLS,X,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZOJSL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZOSJL,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIOLJZS,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
TIOLSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOLZJS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIOJLZS,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
TIOJSLZ,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOSJLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
TIOZJLS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOZJSL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZSJL,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
TLIJSOZ,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIJZSO,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLIJZOS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
TLIJOSZ,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TLIJOZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TLISJZO,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISJOZ,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISZJO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISZOJ,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLISOJZ,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X
TLISOZJ,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLIZJSO,X,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIZJOS,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLIZSJO,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLIZOJS,X,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
TLIZOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TLIOJSZ,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLIOJZS,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X
TLIOSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TLIOZJS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
TLJISZO,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
TLJISOZ,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJIZSO,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
